barcode,array_id,rna_in_array,rna_in_labeling_reaction,tissue_sample_id,structure,rna_integrity_number,donor,download_link
252491511275_1_4,147806285,600,5,127426327,internal segment of globus pallidus,,H376.IIIB.02,/api/v2/well_known_file_download/147820336
252491511162_1_1,121064209,600,5,12962,inner SZ in dorsomedial extrastriate cortex,,H376.IV.02,/api/v2/well_known_file_download/149124263
252491510931_1_3,147804791,600,5,113221759,SZ in rostral cingulate cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817177
252491510959_1_1,146036992,600,5,12000,VZ in rostral cingulate neocortex,,H376.IV.02,/api/v2/well_known_file_download/146038908
252491511148_2_4,121063730,600,5,12874,subgranular zone of caudal dentate gyrus,,H376.IV.02,/api/v2/well_known_file_download/149124113
252491510932_2_2,147804633,600,5,13373,SP in ventrolateral prefrontal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817199
252491511176_1_2,121079986,600,5,113219484,outer CP in dorsolateral prefrontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149196073
252491510932_1_1,147804891,600,5,113221945,paraventricular nucleus of hypothalamus,,H376.IIIA.02,/api/v2/well_known_file_download/147817189
252491511102_1_3,121081376,600,5,113220726,medial mammillary nucleus,,H376.IV.03,/api/v2/well_known_file_download/149196017
252491511275_2_1,147806243,600,5,127426749,lateral tuberal nuclei,,H376.IIIB.02,/api/v2/well_known_file_download/147820338
252491511166_1_4,121063382,600,5,12027,inner CP in granular insular cortex,,H376.IV.02,/api/v2/well_known_file_download/149124295
252491511185_2_2,114245415,600,5,12027,inner CP in granular insular cortex,,H376.IV.02,/api/v2/well_known_file_download/121059603
252491511315_1_1,147806898,600,5,127374037,VZ in frontal polar cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825743
252491511200_2_2,114245770,600,5,12051,layer I of piriform cortex,,H376.IV.02,/api/v2/well_known_file_download/121059945
252491511283_2_4,147806365,600,5,127426859,inner CP in primary auditory cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820415
252491510813_1_1,147806193,600,5,127426717,caudal putamen,,H376.IIIB.02,/api/v2/well_known_file_download/147819850
252491510959_2_4,146037070,600,5,12902,MZ in retrosplenial cortex,,H376.IV.02,/api/v2/well_known_file_download/146038922
252491511204_2_3,147805090,600,3.01071428571429,127407336,abducens nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147817441
252491511263_2_3,147803175,600,3.7,113221715,MZ in rostral cingulate cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815578
252491511189_1_1,114245319,600,5,11999,VZ in dorsolateral prefrontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059661
252491511176_2_1,121081023,600,5,113220612,dorsomedial hypothalamic nucleus,,H376.IV.03,/api/v2/well_known_file_download/149196079
252491511266_2_3,147804116,600,5,113221977,outer CP in primary somatosensory cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815626
252491511174_1_1,121081262,600,5,113220676,MZ in midcingulate cortex,,H376.IV.03,/api/v2/well_known_file_download/149196057
252491511149_2_2,121063701,600,5,12864,MZ in inferolateral temporal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124127
252491511130_2_1,121063699,600,5,12864,MZ in inferolateral temporal cortex,,H376.IV.02,/api/v2/well_known_file_download/149123873
252491510952_1_3,146036726,600,5,113219343,MZ in frontal polar cortex,,H376.IV.03,/api/v2/well_known_file_download/146039553
252491511263_1_2,147803069,600,5,13367,SP in dorsolateral prefrontal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815568
252491511310_2_1,147807094,600,5,127426668,central portion of GPi,,H376.IIIB.02,/api/v2/well_known_file_download/147825677
252491511174_2_2,121079904,600,5,113219355,VZ in rostral cingulate neocortex,,H376.IV.03,/api/v2/well_known_file_download/149196067
252491511212_2_1,147803077,600,5,13355,outer SZ in dorsolateral prefrontal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815044
252491511322_1_2,147807279,600,5,127433860,deep layers of caudal entorhinal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825857
252491511280_1_1,147806644,600,5,127433860,deep layers of caudal entorhinal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820346
252491511136_1_2,121063922,600,5,12939,SP in ventromedial extrastriate cortex (VP),,H376.IV.02,/api/v2/well_known_file_download/149123843
252491511098_1_3,127366330,600,5,113221115,inner SZ in posteror frontal cortex (motor cortex),,H376.IV.03,/api/v2/well_known_file_download/149206317
252491511473_2_2,147808011,600,5,127434712,outer SZ in primary visual cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825939
252491511176_1_4,121080068,600,5,113220265,IZ in ventrolateral prefrontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149196077
252491510931_1_1,147805072,600,5,127407330,nucleus coeruleus,,H376.IIIA.02,/api/v2/well_known_file_download/147817173
252491511454_1_3,156437999,600,5,127407549,pontine nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/156886640
252491511299_2_4,147808125,600,5,127434782,gracile nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825651
252491511131_2_1,114245626,600,5,12076,medial habenular nucleus,,H376.IV.02,/api/v2/well_known_file_download/121059881
252491511268_1_4,147803986,600,5,127401363,VZ in superolateral temporal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815652
252491511475_1_3,147807668,600,5,127434467,CP in caudal hippocampus,,H376.IIIB.02,/api/v2/well_known_file_download/147825965
252491511282_1_2,147805776,600,5,127409123,outer CP in orbital frontal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820387
252491511195_1_2,147804699,600,5,13356,inner SZ in dorsolateral prefrontal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817351
252491511322_1_3,147807144,600,5,127434786,IZ in midcingulate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825859
252491511300_2_3,147807442,600,5,127434308,outer SZ in dorsomedial parietal cortex (area 7m),,H376.IIIB.02,/api/v2/well_known_file_download/147825665
252491510816_2_4,147807436,600,5,127434308,outer SZ in dorsomedial parietal cortex (area 7m),,H376.IIIB.02,/api/v2/well_known_file_download/147825523
252491510955_1_3,146036811,600,5,113220585,basal nucleus of Meynert,,H376.IV.03,/api/v2/well_known_file_download/146039577
252491511315_1_2,147808027,600,5,127434729,inner SZ in dorsomedial extrastriate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825745
252491511227_2_4,147805908,600,5,127409980,outer portion of lateral ganglionic eminence,,H376.IIIB.02,/api/v2/well_known_file_download/147819888
252491511325_1_3,147806297,600,5,127426803,zona incerta,,H376.IIIB.02,/api/v2/well_known_file_download/147820443
252491511229_1_2,147806680,600,5,127434091,SG in caudal perirhinal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147819916
252491511196_2_1,147805066,600,5,127408958,cochlear nuclei,,H376.IIIA.02,/api/v2/well_known_file_download/147817373
252491511169_2_1,114245578,600,5,12058,bed nucleus of stria terminalis,,H376.IV.02,/api/v2/well_known_file_download/121059763
252491511169_1_4,114245576,600,5,12058,bed nucleus of stria terminalis,,H376.IV.02,/api/v2/well_known_file_download/121059765
252491511229_1_3,147806044,600,5,127426420,outer CP in dysgranular insular cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147819920
252491511096_2_2,127366146,600,5,113220992,"substantia nigra, compact part",,H376.IV.03,/api/v2/well_known_file_download/149206268
252491511087_2_4,127366140,600,5,113220992,"substantia nigra, compact part",,H376.IV.03,/api/v2/well_known_file_download/149206116
252491511155_2_2,121063777,600,5,12882,MZ in caudal cingulate cortex,,H376.IV.02,/api/v2/well_known_file_download/149124209
252491511199_2_1,114245778,600,5,12115,outer SZ in posteror frontal cortex (motor cortex),,H376.IV.02,/api/v2/well_known_file_download/121059935
252491510957_2_4,146036739,600,5,113220269,inner SZ in orbital frontal cortex,,H376.IV.03,/api/v2/well_known_file_download/146039620
252491510992_2_2,121080036,600,5,113220257,SP in dorsolateral prefrontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195777
252491511284_1_4,147806508,600,5,127426994,stratum pyramidale of rostral CA3,,H376.IIIB.02,/api/v2/well_known_file_download/147820423
252491511313_1_1,147807680,600,5,127434471,superior colliculus,,H376.IIIB.02,/api/v2/well_known_file_download/147825717
252491511186_2_3,114245748,600,5,12130,MZ in ventrolateral prefrontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059625
252491511167_1_2,114245662,600,5,12088,"substantia nigra, reticular part",,H376.IV.02,/api/v2/well_known_file_download/121059799
252491511190_1_1,114245295,600,5,11987,MZ in rostral cingulate cortex,,H376.IV.02,/api/v2/well_known_file_download/121059903
252491511280_1_4,147806481,600,5,127426974,centromedian nucleus of thalamus,,H376.IIIB.02,/api/v2/well_known_file_download/147820359
252491511107_1_4,147805468,600,5,127402588,outer CP in posterior parahippocampal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817291
252491511448_2_1,156438270,600,5,127434710,IZ in dorsomedial extrastriate cortex (V2),,H376.IIIB.02,/api/v2/well_known_file_download/156887111
252491511330_2_2,147808003,600,5,127434710,IZ in dorsomedial extrastriate cortex (V2),,H376.IIIB.02,/api/v2/well_known_file_download/147825907
252491511046_1_3,121080076,600,5,113220267,outer SZ in orbital frontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195857
252491511260_1_3,147804124,600,5,113221990,CP in temporal polar cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815521
252491511251_1_1,147806638,600,5,127433778,layer III of caudal entorhinal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820088
252491511183_2_4,114245679,600,5,12104,SP in midcingulate cortex,,H376.IV.02,/api/v2/well_known_file_download/121059577
252491511453_1_4,156438067,600,4,127409125,inner CP in orbital frontal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/156887175
252491511452_2_1,156438124,600,5,127426729,basolateral nucleus (basal nucleus),,H376.IIIB.02,/api/v2/well_known_file_download/156887161
252491511171_2_3,114245545,600,5,12144,layer II of rostral entorhinal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059725
252491511146_2_2,121063772,600,5,12881,VZ in caudal cingulate neocortex,,H376.IV.02,/api/v2/well_known_file_download/149124077
252491511154_2_1,127366238,600,5,113221051,inner CP in posteror frontal cortex (motor cortex),,H376.IV.03,/api/v2/well_known_file_download/149206533
252491511110_2_4,127366232,600,5,113221051,inner CP in posteror frontal cortex (motor cortex),,H376.IV.03,/api/v2/well_known_file_download/149206467
252491511143_2_3,121063857,600,5,12918,SP in medial temporal-occipital cortex,,H376.IV.02,/api/v2/well_known_file_download/149124046
252491511136_1_3,121063933,600,5,12941,outer SZ in ventromedial extrastriate cortex,,H376.IV.02,/api/v2/well_known_file_download/149123841
252491511322_1_1,147807802,600,5,127434590,gigantocellular reticular nuclei,,H376.IIIB.02,/api/v2/well_known_file_download/147825855
252491511110_1_3,127366152,600,5,113220994,"substantia nigra, reticular part",,H376.IV.03,/api/v2/well_known_file_download/149206446
252491511176_2_2,121081392,600,5,113220730,central part of CEl,,H376.IV.03,/api/v2/well_known_file_download/149196081
252491511089_2_4,127366663,600,5,113221537,inner SZ in midlateral extrastriate cortex,,H376.IV.03,/api/v2/well_known_file_download/149206212
252491511188_1_1,114245367,600,5,12017,MZ in orbital frontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059643
252491511455_2_4,156437981,600,5,127407447,external granular (germinal) layer of lower rhombic lip,,H376.IIIA.02,/api/v2/well_known_file_download/156886664
252491511250_1_3,147806255,600,5,127426753,outer CP in midcingulate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820053
252491511270_2_4,147806152,600,5,127426676,amygdalostriatal transition area,,H376.IIIB.02,/api/v2/well_known_file_download/147820262
252491511052_1_3,121080320,600,5,113220471,medial portion of the shell,,H376.IV.03,/api/v2/well_known_file_download/149195875
252491511262_1_2,147803298,600,5,113221878,agranular insular cortex (area Iag),,H376.IIIA.02,/api/v2/well_known_file_download/147815552
252491511164_2_3,114245478,600,5,12134,basomedial nucleus (accessory basal nucleus),,H376.IV.02,/api/v2/well_known_file_download/121059829
252491511058_1_3,121080414,600,5,113220495,outer CP in dysgranular insular cortex,,H376.IV.03,/api/v2/well_known_file_download/149195960
252491511088_1_3,127366452,600,5,113221391,inner CP in caudal cingulate cortex,,H376.IV.03,/api/v2/well_known_file_download/149206126
252491511195_1_3,147804615,600,5,13349,inner SZ in frontal polar cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817353
252491511204_2_4,147805426,600,5,127424211,VZ in inferolateral temporal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817443
252491511137_1_2,121063896,600,5,12931,SP in midlateral extrastriate cortex (area 19),,H376.IV.02,/api/v2/well_known_file_download/149123955
252491511256_1_2,147803052,600,5,13365,outer CP in dorsolateral prefrontal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815454
252491511189_2_2,114245334,600,5,12005,SP in ventrolateral prefrontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059897
252491511135_2_2,121064038,600,5,12959,outer SZ in primary visual cortex,,H376.IV.02,/api/v2/well_known_file_download/149123851
252491511324_2_2,147807191,600,5,127426855,inner CP in posteroinferior (ventral) parietal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825897
252491511251_1_2,147806359,600,5,127426857,outer CP in primary auditory cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820092
252491511273_2_2,147806353,600,5,127426857,outer CP in primary auditory cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820308
252491511159_1_4,114245762,600,5,12040,MZ in granular insular cortex,,H376.IV.02,/api/v2/well_known_file_download/121059851
252491510930_2_1,147805554,600,5,113222018,VZ in primary somatosensory cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817165
252491511192_1_4,147805548,600,5,113222018,VZ in primary somatosensory cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817307
252491510859_2_2,147804675,600,5,13390,inner SZ in orbital frontal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817119
252491511261_1_3,147803978,600,5,127401202,VZ in posteroinferior (ventral) parietal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815538
252491511323_1_3,147807261,600,5,127426972,ventral posterior inferior nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825875
252491511132_2_2,127366550,600,5,113221467,SP in posteroinferior (ventral) parietal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206526
252491511146_1_2,121063760,600,5,12892,caudal presubiculum (postsubiculum),,H376.IV.02,/api/v2/well_known_file_download/149124069
252491511045_1_4,121081332,600,5,113220701,VZ in dorsomedial frontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195843
252491511054_1_2,127365566,600,5,12871,VZ in posterosuperior (dorsal) parietal cortex,,H376.IV.02,/api/v2/well_known_file_download/149203484
252491511148_1_4,121063719,600,5,12871,VZ in posterosuperior (dorsal) parietal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124105
252491511088_2_1,127366060,600,5,113248009,subthalamic nucleus,,H376.IV.03,/api/v2/well_known_file_download/149206132
252491511473_1_3,147806962,600,5,127409097,SZ in subgenual cingulate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825933
252491511311_2_3,147806992,600,5,127409974,medial septal nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825697
252491511297_2_3,147807528,600,5,127434371,inner SZ in inferolateral temporal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825617
252491511318_2_3,147807522,600,5,127434371,inner SZ in inferolateral temporal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825803
252491510927_2_2,147804963,600,5,127403452,inner SZ in midlateral extrastriate cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817135
252491511253_2_2,147806165,600,5,127426682,"lateral hypothalamic area, tuberal part",,H376.IIIB.02,/api/v2/well_known_file_download/147820226
252491511059_2_3,127365526,600,5,12914,inner CP in medial temporal-occipital cortex,,H376.IV.02,/api/v2/well_known_file_download/149203508
252491511152_2_4,121063624,600,5,12842,lateral parabrachial nucleus,,H376.IV.02,/api/v2/well_known_file_download/149124179
252491511056_2_3,121079912,600,5,113219357,head of caudate,,H376.IV.03,/api/v2/well_known_file_download/149195938
252491511229_2_3,147805806,600,5,127409135,VZ in orbital frontal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147819934
252491511110_1_1,127366502,600,5,113221455,MZ in posteroventral (inferior) parietal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206378
252491510859_1_4,147805258,600,5,127407541,SZ in caudal cingulate cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817115
252491511054_1_3,121079815,600,5,12967,inner CP in frontal polar cortex,,H376.IV.03,/api/v2/well_known_file_download/149195906
252491511202_2_2,147805462,600,5,127401142,medial geniculate nuclei,,H376.IIIA.02,/api/v2/well_known_file_download/147817423
252491510956_2_4,146036787,600,5,113220557,outer CP in rostral perirhinal cortex,,H376.IV.03,/api/v2/well_known_file_download/146039603
252491510957_2_1,146036781,600,5,113220557,outer CP in rostral perirhinal cortex,,H376.IV.03,/api/v2/well_known_file_download/146039613
252491511257_2_1,147803826,600,5,127407622,SP in caudal hippocampal proper,,H376.IIIA.02,/api/v2/well_known_file_download/147815476
252491511312_1_1,147807933,600,5,127434675,MZ in ventromedial extrastriate cortex (VP),,H376.IIIB.02,/api/v2/well_known_file_download/147825701
252491511274_1_3,147806784,600,5,127434238,pedunculo(pontine) tegmental  nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147820318
252491511259_1_4,147804148,600,5,113221996,SP in primary somatosensory cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815507
252491511189_2_1,114245331,600,5,12004,inner CP in ventrolateral prefrontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059669
252491511189_1_4,114245329,600,5,12004,inner CP in ventrolateral prefrontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059667
252491511046_1_2,121080856,600,5,113220555,MZ in rostral perirhinal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195855
252491511213_2_4,147803754,600,5,127407831,rostral ventral respiratory cell group,,H376.IIIA.02,/api/v2/well_known_file_download/147815066
252491511143_1_2,121063842,600,5,12911,MZ in medial temporal-occipital cortex,,H376.IV.02,/api/v2/well_known_file_download/149124036
252491511321_1_3,147807341,600,5,127434264,granular layer of caudal dentate gyrus,,H376.IIIB.02,/api/v2/well_known_file_download/147825843
252491510817_2_1,147807367,600,5,127434272,stratum oriens of caudal CA1,,H376.IIIB.02,/api/v2/well_known_file_download/147825533
252491511169_1_2,114245569,600,5,12056,Dorsal claustrum,,H376.IV.02,/api/v2/well_known_file_download/121059769
252491511323_2_3,147808075,600,5,127434755,solitary nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825883
252491511106_1_3,147804827,600,5,113221882,Ventral pallidus,,H376.IIIA.02,/api/v2/well_known_file_download/147817273
252491511174_1_3,121081324,600,5,113220699,inner SZ in dorsomedial frontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149196061
252491511150_2_1,121063667,600,5,12856,VZ in inferolateral temporal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124141
252491511191_2_1,114245283,600,5,11983,inner CP in frontal polar cortex,,H376.IV.02,/api/v2/well_known_file_download/121059927
252491511148_2_1,121063727,600,5,12873,granular layer of caudal dentate gyrus,,H376.IV.02,/api/v2/well_known_file_download/149124107
252491511195_2_4,147805354,600,5,127401296,SP in posteroinferior (ventral) parietal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817363
252491511205_2_1,147804873,600,5,113221924,inner portion of medial ganglionic eminence,,H376.IIIA.02,/api/v2/well_known_file_download/147817453
252491511266_2_4,147803391,600,5,113221941,lower limb region of M1,,H376.IIIA.02,/api/v2/well_known_file_download/147815628
252491511101_2_3,121080108,600,5,113220287,outer SZ in ventrolateral prefrontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149196009
252491511316_2_1,147807993,600,5,127434708,SP in ventromedial extrastriate cortex (VP),,H376.IIIB.02,/api/v2/well_known_file_download/147825767
252491511254_2_1,147806183,600,5,127426715,olfactory part of entorhinal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820240
252491511162_1_3,121064327,600,5,12964,VZ in dorsomedial extrastriate cortex (V2),,H376.IV.02,/api/v2/well_known_file_download/149124267
252491511054_2_3,121079894,600,5,113220563,SZ in rostral cingulate cortex,,H376.IV.03,/api/v2/well_known_file_download/149195912
252491511323_1_4,147808119,600,5,127434767,cuneate nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147825877
252491511153_1_4,121063578,600,5,12828,inner CP in superolateral temporal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124187
252491511153_1_3,121063576,600,5,12828,inner CP in superolateral temporal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124185
252491511253_2_4,147806650,600,5,127433862,MZ in caudal perirhinal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820230
252491511158_2_4,114245792,600,5,12062,SG in dorsolateral prefrontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059859
252491511105_1_4,147805444,600,5,127402584,VZ in caudal subicular cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817259
252491511213_1_1,147803443,600,5,127424254,inner CP in midlateral extrastriate cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815052
252491511105_2_3,147805084,600,4.00714285714286,127407334,raphe magnus nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147817265
252491511205_1_1,147804939,600,5,127424256,SP in ventromedial extrastriate cortex (VP),,H376.IIIA.02,/api/v2/well_known_file_download/147817445
252491510859_1_3,147804803,600,5,113221786,outer portion of lateral ganglionic eminence,,H376.IIIA.02,/api/v2/well_known_file_download/147817113
252491511311_2_4,147807504,600,5,127434351,IZ in inferolateral temporal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825699
252491511166_2_1,121063385,600,5,12102,outer CP in midcingulate cortex,,H376.IV.02,/api/v2/well_known_file_download/149124297
252491511160_1_2,114245774,600,5,12102,outer CP in midcingulate cortex,,H376.IV.02,/api/v2/well_known_file_download/121059843
252491511453_2_4,156438094,600,5,127426416,outer CP in primary somatosensory cortex,,H376.IIIB.02,/api/v2/well_known_file_download/156887183
252491511453_2_3,156438085,600,5,127426416,outer CP in primary somatosensory cortex,,H376.IIIB.02,/api/v2/well_known_file_download/156887181
252491511153_2_4,121063590,600,5,12832,IZ in superolateral temporal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124195
252491511204_2_1,147805054,600,3.5593220338983,127408954,medial parabrachial nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147817437
252491511136_2_4,121063948,600,5,12950,MZ in dorsomedial extrastriate cortex (V2),,H376.IV.02,/api/v2/well_known_file_download/149123951
252491511143_1_4,121063848,600,5,12913,outer CP in medial temporal-occipital cortex,,H376.IV.02,/api/v2/well_known_file_download/149124040
252491511096_2_1,127366276,600,5,113221084,SP in posteror frontal cortex (motor cortex),,H376.IV.03,/api/v2/well_known_file_download/149206265
252491511138_1_2,121063542,600,5,12820,rostral presubiculum,,H376.IV.02,/api/v2/well_known_file_download/149123971
252491511190_2_4,114245316,600,5,11997,inner SZ in dorsolateral prefrontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059917
252491511088_2_4,127366540,600,5,113221465,inner CP in inferolateral temporal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206179
252491511176_1_3,121080002,600,5,113219486,inner CP in dorsolateral prefrontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149196075
252491511055_2_2,121080000,600,5,113219486,inner CP in dorsolateral prefrontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195922
252491511102_2_1,121079832,600,5,113219345,IZ in frontal polar cortex,,H376.IV.03,/api/v2/well_known_file_download/149196021
252491511272_1_1,147806600,600,5,127433764,VZ in posterosuperior (dorsal) parietal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820280
252491511310_1_4,147807624,600,5,127434416,inner CP in inferolateral temporal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825675
252491511145_2_2,121063803,600,5,12899,IZ in posterior parahippocampal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124060
252491511275_1_1,147806140,600,5,127426672,basomedial nucleus (accessory basal nucleus),,H376.IIIB.02,/api/v2/well_known_file_download/147820330
252491511185_2_3,114245418,600,5,12028,SP in dysgranular insular cortex,,H376.IV.02,/api/v2/well_known_file_download/121059609
252491511146_2_1,121063769,600,5,12894,VZ in posterior parahippocampal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124075
252491511324_1_4,147807305,600,5,127434094,anterior nucleus of pulvinar,,H376.IIIB.02,/api/v2/well_known_file_download/147825893
252491510956_2_1,146036805,600,5,113220581,Dorsal claustrum,,H376.IV.03,/api/v2/well_known_file_download/146039597
252491511142_2_4,121063888,600,5,12929,outer CP in midlateral extrastriate cortex,,H376.IV.02,/api/v2/well_known_file_download/149124032
252491511317_1_3,147806884,600,5,127374033,outer SZ in frontal polar cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825779
252491511211_1_2,147803922,600,5,127403718,inner CP in posteroinferior (ventral) parietal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815021
252491511277_2_1,147803118,600,5,113221821,lateral ganglionic eminence,,H376.IIIA.02,/api/v2/well_known_file_download/147815704
252491511276_1_4,147803116,600,5,113221821,lateral ganglionic eminence,,H376.IIIA.02,/api/v2/well_known_file_download/147815686
252491511055_2_3,121080135,600,5,113220289,inner SZ in ventrolateral prefrontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195924
252491511473_1_1,147807207,600,5,127426900,VZ in posteroinferior (ventral) parietal cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825929
252491511185_2_4,114245421,600,5,12029,SP in granular insular cortex,,H376.IV.02,/api/v2/well_known_file_download/121059611
252491511257_1_4,147803858,600,5,127408526,medial habenular nucleus,,H376.IIIA.02,/api/v2/well_known_file_download/147815474
252491511096_1_2,127366514,600,5,113221459,outer CP in posteroinferior (ventral) parietal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206254
252491511164_1_4,114245469,600,5,12132,rostral subdivision of medial nucleus,,H376.IV.02,/api/v2/well_known_file_download/121059835
252491511151_2_2,121063642,600,5,12849,IZ in posteroinferior (ventral) parietal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124159
252491511259_2_3,147804086,600,5,127401212,midbrain reticular formation,,H376.IIIA.02,/api/v2/well_known_file_download/147815513
252491511146_2_4,121063780,600,5,12896,outer CP in posterior parahippocampal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124081
252491511270_1_2,147806612,600,5,127433770,basal ventral medial nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147820250
252491511310_2_3,147807373,600,5,127434274,stratum pyramidale of caudal CA2,,H376.IIIB.02,/api/v2/well_known_file_download/147825681
252491511151_2_3,121063645,600,5,12850,IZ in inferolateral temporal cortex,,H376.IV.02,/api/v2/well_known_file_download/149124161
252491511229_1_4,147805914,600,5,127409982,inner portion of medial ganglionic eminence,,H376.IIIB.02,/api/v2/well_known_file_download/147819923
252491510814_2_3,147806307,600,5,127426817,lateral nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147819870
252491511166_2_3,121063391,600,5,12065,outer CP in primary somatosensory cortex,,H376.IV.02,/api/v2/well_known_file_download/149124301
252491511165_1_4,114245593,600,5,12065,outer CP in primary somatosensory cortex,,H376.IV.02,/api/v2/well_known_file_download/121059815
252491511230_2_3,147805878,600,5,127409150,lateral ganglionic eminence,,H376.IIIB.02,/api/v2/well_known_file_download/147820022
252491511320_1_1,147807030,600,5,127409223,IZ in rostral cingulate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825823
