barcode,array_id,rna_in_array,rna_in_labeling_reaction,tissue_sample_id,structure,rna_integrity_number,donor,download_link
252491510956_1_4,146036853,600,5,113220697,outer SZ in dorsomedial frontal cortex,,H376.IV.03,/api/v2/well_known_file_download/146039595
252491511268_2_1,147804239,600,5,113222050,"lateral hypothalamic area, tuberal part",,H376.IIIA.02,/api/v2/well_known_file_download/147815654
252491511187_2_1,114245352,600,5,12012,core of nucleus accumbens,,H376.IV.02,/api/v2/well_known_file_download/121059635
252491511281_1_3,147806229,600,5,127426745,rostral subdivision of paraventricular nucleus,,H376.IIIB.02,/api/v2/well_known_file_download/147820373
252491511056_2_1,121080088,600,5,113220271,outer SZ in dorsolateral prefrontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195934
252491511260_2_1,147804002,600,5,127401369,"substantia nigra, reticular part",,H376.IIIA.02,/api/v2/well_known_file_download/147815526
252491511099_2_2,121079978,600,5,113220565,inner CP in orbital frontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195982
252491511176_2_4,121081199,600,5,113220670,VZ in midcingulate neocortex,,H376.IV.03,/api/v2/well_known_file_download/149196085
252491510955_2_1,146036877,600,5,113220955,inner CP in inferolateral temporal cortex,,H376.IV.03,/api/v2/well_known_file_download/146039581
252491511321_2_3,147808069,600,5,127434741,dorsal motor nucleus of the vagus (vagal nucleus),,H376.IIIB.02,/api/v2/well_known_file_download/147825851
252491511090_1_3,127366496,600,5,113221453,CP in retrosplenial cortex,,H376.IV.03,/api/v2/well_known_file_download/149206225
252491510814_2_2,147806794,600,5,127434242,pretectal nuclear complex,,H376.IIIB.02,/api/v2/well_known_file_download/147819868
252491511317_1_2,147807877,600,5,127434623,inner CP in medial temporal-occipital cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147825777
252491511056_2_2,121080060,600,5,113220263,IZ in dorsolateral prefrontal cortex,,H376.IV.03,/api/v2/well_known_file_download/149195936
252491511168_2_3,114245656,600,5,12086,VZ in postamygdaloid region,,H376.IV.02,/api/v2/well_known_file_download/121059775
252491511186_2_2,114245745,600,5,12129,SG in ventrolateral prefrontal cortex,,H376.IV.02,/api/v2/well_known_file_download/121059623
252491511253_2_3,147806022,600,5,127426352,MZ in dysgranular insular cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820228
252491511108_2_2,127366440,600,5,113221387,SZ in caudal cingulate cortex,,H376.IV.03,/api/v2/well_known_file_download/149206350
252491511104_2_2,147804693,600,5,13354,inner SZ in dorsomedial frontal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817247
252491511310_1_2,147808093,600,5,127434759,pontobulbar body,,H376.IIIB.02,/api/v2/well_known_file_download/147825671
252491511312_2_1,147808087,600,5,127434759,pontobulbar body,,H376.IIIB.02,/api/v2/well_known_file_download/147825709
252491511263_2_1,147803134,600,5,113221851,core of nucleus accumbens,,H376.IIIA.02,/api/v2/well_known_file_download/147815574
252491511258_1_2,147803946,600,5,127401326,SP in inferolateral temporal cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147815486
252491511274_1_4,147805956,600,5,127409221,SP in rostral cingulate cortex,,H376.IIIB.02,/api/v2/well_known_file_download/147820320
252491511089_1_2,127366554,600,5,113221469,SP in inferolateral temporal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206187
252491511194_1_4,147805126,600,5,127407381,outer SZ in lateral temporal-occipital cortex,,H376.IIIA.02,/api/v2/well_known_file_download/147817339
252491511197_2_2,147804851,600,5,147800381,corpus callosum,,H376.IIIA.02,/api/v2/well_known_file_download/147817391
252491511097_1_1,127366134,600,5,113220969,outer CP in inferolateral temporal cortex,,H376.IV.03,/api/v2/well_known_file_download/149206277
